Semana,Avion_ID,Motor_asignado,Ciclos_acumulados,Umbral_maximo,Leased,Bought,OverThreshold
1,1,EC-2337-98,6425.75,14500,,,0
1,2,EC-2193-39,13403.75,14500,,,0
1,3,EC-6493-61,4464.75,14500,,,0
1,4,EC-7175-45,8063.0,14500,,,0
1,5,EC-9535-20,10053.0,14500,,,0
1,6,EC-6116-65,977.0,14500,,,0
1,7,EC-2872-44,13531.0,14500,,,0
1,8,EC-6826-38,11119.0,14500,,,0
1,9,EC-9678-33,8974.0,14500,,,0
1,10,EC-6324-10,7142.0,14500,,,0
1,11,EC-8617-67,10370.0,14500,,,0
1,12,EC-5469-79,12125.0,14500,,,0
1,13,EC-8335-93,10242.05,14500,,,0
1,14,EC-1648-21,13911.05,14500,,,0
1,15,EC-1251-58,7165.05,14500,,,0
1,16,EC-6100-57,2009.0,14500,,,0
1,17,EC-7599-49,7813.0,14500,,,0
1,18,EC-4413-71,13946.0,14500,,,0
1,19,EC-5767-40,2246.0,14500,,,0
1,20,EC-1620-18,1388.0,14500,,,0
1,21,EC-3695-90,13063.0,14500,,,0
1,22,EC-3089-36,220.41,15500,,,0
1,23,EC-7040-90,10922.41,15500,,,0
1,24,EC-9515-75,11508.41,15500,,,0
1,25,EC-5704-41,2776.41,15500,,,0
1,26,EC-9080-27,3506.41,15500,,,0
1,27,EC-9529-73,3814.41,15500,,,0
1,28,EC-4714-18,6266.41,15500,,,0
1,29,EC-3007-30,10793.41,15500,,,0
1,30,EC-5153-53,14480.41,15500,,,0
2,1,EC-2337-98,6448.5,14500,,,0
2,2,EC-2193-39,13426.5,14500,,,0
2,3,EC-6493-61,4487.5,14500,,,0
2,4,EC-7175-45,8084.0,14500,,,0
2,5,EC-9535-20,10074.0,14500,,,0
2,6,EC-6116-65,998.0,14500,,,0
2,7,EC-2872-44,13552.0,14500,,,0
2,8,EC-6826-38,11140.0,14500,,,0
2,9,EC-9678-33,8995.0,14500,,,0
2,10,EC-6324-10,7163.0,14500,,,0
2,11,EC-8617-67,10391.0,14500,,,0
2,12,EC-5469-79,12146.0,14500,,,0
2,13,EC-8335-93,10264.099999999999,14500,,,0
2,14,EC-1648-21,13933.1,14500,,,0
2,15,EC-1251-58,7187.1,14500,,,0
2,16,EC-6100-57,2030.0,14500,,,0
2,17,EC-7599-49,7834.0,14500,,,0
2,18,EC-4413-71,13967.0,14500,,,0
2,19,EC-5767-40,2267.0,14500,,,0
2,20,EC-1620-18,1409.0,14500,,,0
2,21,EC-3695-90,13084.0,14500,,,0
2,22,EC-3089-36,231.82,15500,,,0
2,23,EC-7040-90,10933.82,15500,,,0
2,24,EC-9515-75,11519.82,15500,,,0
2,25,EC-5704-41,2787.8199999999997,15500,,,0
2,26,EC-9080-27,3517.82,15500,,,0
2,27,EC-9529-73,3825.82,15500,,,0
2,28,EC-4714-18,6277.82,15500,,,0
2,29,EC-3007-30,10804.82,15500,,,0
2,30,EC-5153-53,14491.82,15500,,,0
3,1,EC-2337-98,6471.25,14500,,,0
3,2,EC-2193-39,13449.25,14500,,,0
3,3,EC-6493-61,4510.25,14500,,,0
3,4,EC-7175-45,8105.0,14500,,,0
3,5,EC-9535-20,10095.0,14500,,,0
3,6,EC-6116-65,1019.0,14500,,,0
3,7,EC-2872-44,13573.0,14500,,,0
3,8,EC-6826-38,11161.0,14500,,,0
3,9,EC-9678-33,9016.0,14500,,,0
3,10,EC-6324-10,7184.0,14500,,,0
3,11,EC-8617-67,10412.0,14500,,,0
3,12,EC-5469-79,12167.0,14500,,,0
3,13,EC-8335-93,10286.15,14500,,,0
3,14,EC-1648-21,13955.15,14500,,,0
3,15,EC-1251-58,7209.150000000001,14500,,,0
3,16,EC-6100-57,2051.0,14500,,,0
