Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
1,30,0,0,0,0,0,0.0
2,30,0,0,0,0,0,0.0
3,30,0,0,0,0,0,0.0
4,30,0,0,0,0,0,0.0
5,30,0,0,0,0,0,0.0
6,30,0,0,0,0,0,0.0
7,30,0,0,0,0,0,0.0
8,30,0,0,0,0,0,0.0
9,30,0,0,0,0,0,0.0
10,30,0,0,0,0,0,0.0
11,30,0,0,0,0,0,0.0
12,30,0,0,0,0,0,0.0
13,30,0,0,0,0,0,0.0
14,30,0,0,0,0,0,0.0
15,30,0,0,0,0,0,0.0
16,30,0,0,0,0,0,0.0
17,30,0,0,0,0,0,0.0
18,30,0,0,0,0,0,0.0
19,30,0,0,0,0,0,0.0
20,30,0,0,0,0,0,0.0
21,30,0,0,0,0,0,0.0
22,30,0,0,0,0,0,0.0
23,30,0,0,0,0,0,0.0
24,30,0,0,0,0,0,0.0
25,30,0,0,0,0,0,0.0
26,30,0,0,0,0,0,0.0
27,30,0,0,0,0,0,0.0
28,30,2,2,0,0,0,140000.0
29,30,2,2,0,0,0,280000.0
